,Area(0072-0135),Mean(0072-0135),Min(0072-0135),Max(0072-0135),Area(0338-0243),Mean(0338-0243),Min(0338-0243),Max(0338-0243),Area(0351-0330),Mean(0351-0330),Min(0351-0330),Max(0351-0330),Area(0457-0352),Mean(0457-0352),Min(0457-0352),Max(0457-0352),Area(0454-0435),Mean(0454-0435),Min(0454-0435),Max(0454-0435)
76,1254,116.347,-95.0,802.0,1000,72.727,-30.0,721.0,1101,127.368,-44.0,840.0,846,54.028,-41.0,483.0,1024,49.879,-36.0,426.0
77,1254,114.258,-54.0,808.0,1000,78.41,-36.0,656.0,1101,127.157,-41.0,843.0,846,54.29,-30.0,570.0,1024,53.713,-58.0,453.0
78,1254,118.087,-47.0,694.0,1000,72.692,-45.0,632.0,1101,129.45,-34.0,877.0,846,56.903,-32.0,561.0,1024,55.242,-27.0,417.0
79,1254,114.065,-57.0,840.0,1000,73.993,-63.0,720.0,1101,123.902,-45.0,814.0,846,54.197,-36.0,452.0,1024,48.797,-38.0,428.0
80,1254,115.044,-46.0,801.0,1000,78.555,-34.0,641.0,1101,127.627,-45.0,842.0,846,56.759,-25.0,382.0,1024,53.74,-41.0,493.0
81,1254,111.411,-88.0,735.0,1000,79.89,-31.0,544.0,1101,128.965,-52.0,862.0,846,50.493,-39.0,569.0,1024,57.153,-57.0,416.0
82,1254,114.799,-68.0,743.0,1000,76.102,-44.0,671.0,1101,121.847,-45.0,948.0,846,50.368,-32.0,387.0,1024,52.383,-32.0,417.0
83,1254,119.037,-62.0,874.0,1000,80.999,-42.0,595.0,1101,123.864,-65.0,796.0,846,51.915,-37.0,517.0,1024,50.453,-54.0,418.0
84,1254,119.107,-52.0,770.0,1000,79.354,-40.0,882.0,1101,130.437,-67.0,853.0,846,52.846,-42.0,457.0,1024,48.317,-46.0,569.0
85,1254,122.245,-47.0,728.0,1000,73.697,-40.0,649.0,1101,127.626,-53.0,1018.0,846,56.441,-36.0,472.0,1024,53.328,-56.0,470.0
86,1254,117.695,-67.0,920.0,1000,75.536,-38.0,712.0,1101,129.263,-44.0,752.0,846,54.085,-38.0,421.0,1024,51.358,-39.0,423.0
87,1254,112.211,-54.0,620.0,1000,73.297,-47.0,748.0,1101,129.127,-75.0,958.0,846,52.41,-20.0,415.0,1024,51.779,-38.0,410.0
88,1254,113.689,-52.0,626.0,1000,74.789,-41.0,593.0,1101,120.157,-30.0,816.0,846,58.452,-37.0,461.0,1024,54.606,-48.0,504.0
89,1254,116.096,-48.0,900.0,1000,74.746,-39.0,580.0,1101,122.627,-42.0,769.0,846,59.943,-40.0,557.0,1024,54.915,-45.0,438.0
90,1254,112.896,-61.0,872.0,1000,77.451,-37.0,625.0,1101,121.124,-45.0,775.0,846,52.502,-38.0,613.0,1024,56.733,-34.0,541.0
91,1254,112.289,-44.0,913.0,1000,75.048,-46.0,731.0,1101,128.111,-46.0,976.0,846,56.382,-39.0,596.0,1024,54.086,-43.0,419.0
92,1254,117.407,-60.0,850.0,1000,75.199,-35.0,624.0,1101,123.463,-61.0,889.0,846,58.454,-38.0,457.0,1024,59.175,-41.0,384.0
93,1254,123.012,-60.0,849.0,1000,75.245,-44.0,614.0,1101,121.295,-50.0,784.0,846,59.261,-38.0,400.0,1024,51.058,-48.0,491.0
94,1254,114.106,-55.0,739.0,1000,75.543,-35.0,874.0,1101,125.206,-53.0,844.0,846,52.571,-37.0,546.0,1024,60.777,-53.0,579.0
95,1254,118.636,-40.0,661.0,1000,72.232,-36.0,742.0,1101,119.76,-56.0,869.0,846,47.459,-43.0,594.0,1024,54.277,-51.0,499.0
96,1254,120.764,-94.0,898.0,1000,73.709,-42.0,625.0,1101,126.779,-66.0,950.0,846,51.987,-29.0,420.0,1024,56.259,-39.0,470.0
97,1254,116.722,-50.0,929.0,1000,74.301,-34.0,580.0,1101,126.807,-65.0,780.0,846,56.349,-32.0,468.0,1024,54.473,-63.0,489.0
98,1254,115.681,-57.0,887.0,1000,75.126,-46.0,694.0,1101,127.896,-63.0,867.0,846,56.436,-42.0,576.0,1024,53.4,-37.0,440.0
99,1254,112.122,-49.0,764.0,1000,77.329,-43.0,738.0,1101,126.035,-44.0,818.0,846,52.871,-27.0,408.0,1024,53.363,-57.0,396.0
100,1254,119.333,-73.0,783.0,1000,71.473,-44.0,584.0,1101,125.536,-65.0,943.0,846,51.759,-30.0,354.0,1024,52.039,-39.0,424.0
101,1254,118.842,-73.0,775.0,1000,74.032,-49.0,627.0,1101,125.071,-47.0,869.0,846,57.307,-32.0,480.0,1024,55.094,-37.0,408.0
102,1254,123.099,-62.0,766.0,1000,76.957,-49.0,817.0,1101,127.909,-61.0,827.0,846,55.48,-38.0,371.0,1024,55.167,-46.0,447.0
103,1254,118.586,-61.0,902.0,1000,72.45,-50.0,701.0,1101,126.588,-62.0,834.0,846,53.734,-28.0,412.0,1024,53.91,-49.0,484.0
104,1254,113.236,-63.0,635.0,1000,75.245,-49.0,668.0,1101,125.322,-61.0,827.0,846,58.225,-63.0,524.0,1024,52.653,-51.0,505.0
105,1254,115.317,-72.0,700.0,1000,72.656,-45.0,507.0,1101,124.787,-63.0,827.0,846,59.509,-40.0,399.0,1024,51.957,-39.0,363.0
106,1254,119.829,-58.0,858.0,1000,78.901,-53.0,799.0,1101,120.636,-56.0,855.0,846,54.918,-34.0,376.0,1024,48.689,-41.0,459.0
